ID,City,Parent Product Line,Product Line,Source of Contact,Sales Stage,Sales Team
3040,UDUPI,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,AA10_3009550
3041,ATHNI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3042,UDUPI,Harrier,Harrier XTA+,Cold Calling,07 Closed Lost,AA10_3009550
3043,KERGAL,Nexon,Nexon (P) XZA+ (O) Dark,Referral,02a Pink Form,AA10_3009550
3044,UDUPI,Tiago,Tiago (P) XZ New,External Leads-Web,07 Closed Lost,AA10_3009550
3045,UDUPI,Harrier,Harrier XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3046,UDUPI,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
3047,UDUPI,Altroz,Altroz XT 1.2 P,Cold Calling,07 Closed Lost,AA10_3009550
3048,UDUPI,Altroz,Altroz XT TC 1.2 P,Events,07 Closed Lost,AA10_3009550
3049,UDUPI,Punch,Punch Pure,Cold Calling,07 Closed Lost,AA10_3009550
3050,KONAJE,Harrier,Harrier XZA,External Leads-Web,07 Closed Lost,AA10_3009550
3051,,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
3052,KONAJE,Tigor,Tigor (P) XZ+ New,External Leads-Web,07 Closed Lost,AA10_3009550
3053,,Tigor,Tigor (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3054,UDUPI,Nexon EV,Nexon EV XZ+ Lux,External Leads-Web,07 Closed Lost,AA10_3009550
3055,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3056,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3057,38 KALTHUR,Tiago,Tiago (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3058,UDUPI,Harrier,Harrier XT New,Showroom Walk-in,02 Open Green Form,AA10_3009550
3059,HEJAMADI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3060,UDUPI,Nexon,Nexon (P) XMA (S),External Leads-Web,07 Closed Lost,AA10_3009550
3061,MANGALORE,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3062,UDUPI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3063,KUNDAPURA,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3064,MAJOOR,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3065,PANGALA,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
3066,PANDESHWARA,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3067,,Harrier,Harrier XTA+,External Leads-Web,07 Closed Lost,AA10_3009550
3068,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3069,UTTAR KANNADA,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3070,KARKALA,Nexon,Nexon (P) XM (S),External Leads-Web,07 Closed Lost,AA10_3009550
3071,UDUPI,Altroz,Altroz XZ+ 1.5 D,Showroom Walk-in,06 Sale Closed,AA10_3009550
3072,MANGALORE,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
3073,BOMMANAHALLI,Altroz,Altroz XT 1.2 P Luxe,Call to Dealer,02 Open Green Form,AA10_3009550
3074,BENGALURU,Tiago,Tiago XZ+ CNG,Call to Dealer,02 Open Green Form,AA10_3009550
3075,BELLAMPALLI,Harrier,Harrier XT+,Call to Dealer,02 Open Green Form,AA10_3009550
3076,HEJAMADI,Nexon,Nexon (D) XZ+ New,Call to Dealer,02 Open Green Form,AA10_3009550
3077,BIMA NAGAR,Nexon,Nexon (P) XZ+ (O) Dark,Call to Dealer,02 Open Green Form,AA10_3009550
3078,HEBRI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,AA10_3009550
3079,MANGALORE,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3080,KUNDAPURA,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3081,108 KALTHUR,Tiago,Tiago XT CNG,External Leads-Web,07 Closed Lost,AA10_3009550
3082,UDUPI,Safari 2.0,Safari XZA+ KZR 6S,External Leads-Web,07 Closed Lost,AA10_3009550
3083,YADAGUDDE,Altroz,Altroz XZ 1.2 P,Call to Dealer,02 Open Green Form,AA10_3009550
3084,UDUPI,Harrier,Harrier XZ+ Dark Edition New,Showroom Walk-in,02 Open Green Form,AA10_3009550
3085,UDUPI,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
3086,KURKALU,Nexon,Nexon (P) XZA+ New,Call to Dealer,03 Open Yellow / Booked,AA10_3009550
3087,UDUPI,Altroz,Altroz XZ+ TC 1.2 P,Showroom Walk-in,06 Sale Closed,AA10_3009550
3088,SANTHEKATTE,Punch,Punch Acc Dazzle Camo,Call to Dealer,03 Open Yellow / Booked,AA10_3009550
3089,UDUPI,Nexon,Nexon (D) XZ+ DT HS,Call to Dealer,07 Closed Lost,AA10_3009550
3090,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3091,UDUPI,Punch,Punch Adventure Rhythm AMT,Cold Calling,07 Closed Lost,AA10_3009550
3092,UDUPI,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3093,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3094,KERGAL,Nexon,Nexon (P) XM New,Digital Lead-Dealer,06 Sale Closed,AA10_3009550
3095,UDUPI,Altroz,Altroz XZ 1.2 P,Digital Lead-Dealer,06 Sale Closed,AA10_3009550
3096,UDUPI,Punch,Punch Accomplish Dazzle AMT,Cold Calling,06 Sale Closed,AA10_3009550
3097,UDUPI,Altroz,Altroz XZ 1.2 P,Digital Lead-Dealer,07 Closed Lost,AA10_3009550
3098,UDUPI,Punch,Punch Adventure Rhythm,Digital Lead-Dealer,02a Pink Form,AA10_3009550
3099,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3100,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3101,UDUPI,Punch,Punch Adventure Rhythm,Digital Lead-Dealer,07 Closed Lost,AA10_3009550
3102,UDUPI,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
3103,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,AA10_3009550
3104,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3105,UDUPI,Altroz,Altroz XZ 1.2 P,Events,07 Closed Lost,AA10_3009550
3106,GULBARGA,Altroz,Altroz XE 1.2 P Rhytm,External Leads-Web,07 Closed Lost,AA10_3009550
3107,UDUPI,Punch,Punch Accomplish,Digital Lead-Dealer,07 Closed Lost,AA10_3009550
3108,UDUPI,Punch,Punch Pure,External Leads-Tollfree,07 Closed Lost,AA10_3009550
3109,UDUPI,Tiago,Tiago (P) XT New,External Leads-Chat,07 Closed Lost,AA10_3009550
